RBD,NOM_RBD,NOM_COM_RBD,lon,lat,REGION,COD_REGION
91,ESCUELA COSAPILLA,GENERAL LAGOS,-69.4790589,-17.5947636,Arica y Parinacota,15
92,ESCUELA CHISLLUMA,GENERAL LAGOS,-69.6883907,-17.6970132,Arica y Parinacota,15
93,ESCUELA CHUJLLUTA,GENERAL LAGOS,-60.566735,-33.110647,Arica y Parinacota,15
94,ESCUELA GUACOYO,GENERAL LAGOS,-69.3658118,-17.7508582,Arica y Parinacota,15
95,ESCUELA COLPITAS,GENERAL LAGOS,-69.4545141,-17.9562255,Arica y Parinacota,15
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,IQUIQUE,-70.1531,-20.220035,Tarapacá,1
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,IQUIQUE,-70.1383053,-20.2208443,Tarapacá,1
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,IQUIQUE,-70.1264572,-20.2943058,Tarapacá,1
107,LICEO LIBERT. GRAL.BERNARDO Oï¿½HIGGINS,IQUIQUE,-70.1522166,-20.2198139,Tarapacá,1
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,IQUIQUE,-70.1487297,-20.2254659,Tarapacá,1
109,LICEO ELENA DUVAUCHELLE CABEZON,IQUIQUE,-70.1531714,-20.2169387,Tarapacá,1
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,IQUIQUE,-70.1467326,-20.217604,Tarapacá,1
111,ESCUELA GABRIELA MISTRAL,IQUIQUE,-70.1417135,-20.2257982,Tarapacá,1
112,ESCUELA EDUARDO LLANOS,IQUIQUE,-70.1357802,-20.2146638,Tarapacá,1
113,ESCUELA ALMIRANTE PATRICIO LYNCH,IQUIQUE,-70.1375756,-20.2321998,Tarapacá,1
114,ESCUELA PLACIDO VILLARROEL,IQUIQUE,-70.1441852,-20.2205175,Tarapacá,1
116,COLEGIO REPUBLICA DE CROACIA,IQUIQUE,-70.1350917,-20.2273547,Tarapacá,1
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,IQUIQUE,-70.1460224,-20.2203601,Tarapacá,1
119,ESCUELA CENTENARIO,IQUIQUE,-70.145106,-20.2135898,Tarapacá,1
122,ESCUELA THILDA PORTILLO OLIVARES,IQUIQUE,-70.1411735,-20.2359443,Tarapacá,1
123,COLEGIO ESPANA,IQUIQUE,-70.128888,-20.2398681,Tarapacá,1
124,LICEO LUIS CRUZ MARTINEZ,IQUIQUE,-70.1378385,-20.2419335,Tarapacá,1
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,IQUIQUE,-70.1385337,-20.2455992,Tarapacá,1
126,COLEGIO REPUBLICA DE ITALIA,IQUIQUE,-70.13149,-20.2436,Tarapacá,1
127,LICEO MARIA AUXILIADORA,IQUIQUE,-70.1485264,-20.2221964,Tarapacá,1
129,LICEO SUPERIOR GABRIELA MISTRAL,IQUIQUE,-70.1417135,-20.2257982,Tarapacá,1
130,COLEGIO NORTH COLLEGE,IQUIQUE,-70.1442084,-20.22344,Tarapacá,1
