"","RBD","NOM_RBD","NOM_COM_RBD","query","lon","lat"
"82",126,"COLEGIO REPUBLICA DE ITALIA","IQUIQUE","COLEGIO REPUBLICA DE ITALIA ,  IQUIQUE",-70.13149,-20.2436
"83",127,"LICEO MARIA AUXILIADORA","IQUIQUE","LICEO MARIA AUXILIADORA ,  IQUIQUE",-70.1485264,-20.2221964
"84",129,"LICEO SUPERIOR GABRIELA MISTRAL","IQUIQUE","LICEO SUPERIOR GABRIELA MISTRAL ,  IQUIQUE",-70.1417135,-20.2257982
"85",130,"COLEGIO NORTH COLLEGE","IQUIQUE","COLEGIO NORTH COLLEGE ,  IQUIQUE",-70.1442084,-20.22344
"86",131,"LICEO PARTICULAR MIXTO ESCASCE","IQUIQUE","LICEO PARTICULAR MIXTO ESCASCE ,  IQUIQUE",-70.1482274,-20.2244828
"87",132,"LICEO ACADEMIA IQUIQUE","IQUIQUE","LICEO ACADEMIA IQUIQUE ,  IQUIQUE",-70.1480662,-20.2195664
"88",133,"COLEGIO ADVENTISTA DE IQUIQUE","IQUIQUE","COLEGIO ADVENTISTA DE IQUIQUE ,  IQUIQUE",-70.1485044,-20.2251836
"89",134,"LICEO ATENEA","IQUIQUE","LICEO ATENEA ,  IQUIQUE",-70.15431,-20.21563
"90",144,"COLEGIO IQUIQUE YOUNG SCHOOL","IQUIQUE","COLEGIO IQUIQUE YOUNG SCHOOL ,  IQUIQUE",-70.1431817,-20.2237091
"91",154,"ESCUELA BASICA FRONTERIZA","HUARA","ESCUELA BASICA FRONTERIZA ,  HUARA",-84.1799675,39.7393
"92",156,"ESCUELA PISAGUA","HUARA","ESCUELA PISAGUA ,  HUARA",-70.2126125,-19.5980268
"93",158,"ESCUELA CHIAPA","HUARA","ESCUELA CHIAPA ,  HUARA",-69.2061866,-19.5367303
"94",159,"ESCUELA JAINA","HUARA","ESCUELA JAINA ,  HUARA",-69.2462213,-19.5552107
"95",160,"ESCUELA PACHICA","HUARA","ESCUELA PACHICA ,  HUARA",-69.4317161,-19.8660438
"96",161,"LICEO DE HUARA","HUARA","LICEO DE HUARA ,  HUARA",-69.7729053,-19.9968869
"97",162,"ESCUELA SIBAYA","HUARA","ESCUELA SIBAYA ,  HUARA",-69.1738372,-19.7832665
"98",165,"ESCUELA CHUSMIZA","HUARA","ESCUELA CHUSMIZA ,  HUARA",-106.4472997,31.7595457
"99",167,"ESCUELA CAMINA","CAMI�A","ESCUELA CAMINA ,  CAMIÑA",-102.065054,26.9834945
"100",168,"ESCUELA CUISAMA","CAMI�A","ESCUELA CUISAMA ,  CAMIÑA",-70.142553,-20.212127
"101",169,"ESCUELA QUISTAGAMA","CAMI�A","ESCUELA QUISTAGAMA ,  CAMIÑA",-69.4276536,-19.3116567
"102",170,"ESCUELA NAMA","CAMI�A","ESCUELA NAMA ,  CAMIÑA",-69.4276536,-19.3116567
"103",171,"ESCUELA APAMILCA","CAMI�A","ESCUELA APAMILCA ,  CAMIÑA",-70.1279963,-20.2336135
"104",172,"ESCUELA CHAPIQUILTA","CAMI�A","ESCUELA CHAPIQUILTA ,  CAMIÑA",-69.3238302,-20.4876959
"105",173,"ESCUELA MOQUELLA","CAMI�A","ESCUELA MOQUELLA ,  CAMIÑA",-69.4276536,-19.3116567
"106",174,"ESCUELA FRANCIA","CAMI�A","ESCUELA FRANCIA ,  CAMIÑA",-69.4276536,-19.3116567
"107",175,"ESCUELA YALA YALA","CAMI�A","ESCUELA YALA YALA ,  CAMIÑA",-65.1847196,-23.4364741
"108",177,"ESCUELA BASICA CARIQUIMA","COLCHANE","ESCUELA BASICA CARIQUIMA ,  COLCHANE",-68.6438216,-19.4689572
"109",178,"LICEO TECNICO PROFESIONAL COLCHANE","COLCHANE","LICEO TECNICO PROFESIONAL COLCHANE ,  COLCHANE",-68.6388049,-19.2761393
"110",179,"ESCUELA BASICA MAUQUE","COLCHANE","ESCUELA BASICA MAUQUE ,  COLCHANE",-68.8803248,-19.3212388
"111",185,"ESCUELA BASICA PISIGA-CHOQUE","COLCHANE","ESCUELA BASICA PISIGA-CHOQUE ,  COLCHANE",-68.65,-19.2667
"112",186,"ESCUELA BASICA ENQUELGA","COLCHANE","ESCUELA BASICA ENQUELGA ,  COLCHANE",-68.639615,-19.276402
